time	PSA2
1994-03-01	-1.039144852173365
1994-04-01	-0.782237665059916
1994-05-01	0.6360589045068424
1994-06-01	0.7496255177691872
1994-07-01	0.14154922105082532
1994-08-01	-0.46963685863988475
1994-09-01	2.0539266424533817
1994-10-01	-0.3430282956577309
1994-11-01	-0.135046396757495
1994-12-01	-1.33926726653764
1995-01-01	-1.4126990582793804
1995-02-01	-0.4730787163200526
1995-03-01	0.5186310236288396
1995-04-01	2.0979822357697935
1995-05-01	-0.39925167868946704
1995-06-01	0.35363204849717705
1995-07-01	3.3431804959388103
1995-08-01	-0.9828528396185557
1995-09-01	-0.48587063720430324
1995-10-01	0.6878141690816945
1995-11-01	-0.9784203156756472
1995-12-01	-0.21039390580090406
1996-01-01	-0.024039803225949993
1996-02-01	1.0947677391366868
1996-03-01	0.8534945249177149
