valid_time	SAD
2005-02-01	-0.20317754511649674
2005-03-01	0.7270286766737812
2005-04-01	0.19307628746792413
2005-05-01	-0.7963987682176384
2005-06-01	-1.1302054056221165
2005-07-01	-0.8968494351711556
2005-08-01	-0.5493565879038207
2005-09-01	-0.3289242330994045
2005-10-01	-0.4287459391023285
2005-11-01	-0.42055189158469714
2005-12-01	-0.48762762068845866
2006-01-01	0.008094741154304247
2006-02-01	0.12007664086755372
2006-03-01	-0.20765298160347234
2006-04-01	-0.29740930277624783
2006-05-01	-0.5233432047436372
2006-06-01	-0.09477108060476698
2006-07-01	0.39446085332202996
2006-08-01	0.3570732369788689
2006-09-01	0.44389539649742704
2006-10-01	-0.049334024862002814
2006-11-01	-0.09939087291930071
2006-12-01	-0.012515030089257372
2007-01-01	0.31134716907212057
