time	SAD
1994-02-01	-0.6072117265334531
1994-03-01	-0.4946441624695237
1994-04-01	-0.49820979748855326
1994-05-01	-0.3536452945419278
1994-06-01	-1.0084211778760577
1994-07-01	-1.5960569475897453
1994-08-01	-1.121405792710744
1994-09-01	-0.8688431756079231
1994-10-01	-0.6835255813876633
1994-11-01	-0.11745348078623026
1994-12-01	0.2013042092187663
1995-01-01	0.3027729063390473
1995-02-01	0.5700280228353889
1995-03-01	0.7083552531076247
1995-04-01	0.12717162104159765
1995-05-01	-0.2618644419621941
1995-06-01	0.07362167744919935
1995-07-01	-0.3400799789632159
1995-08-01	-1.414381452947951
1995-09-01	-1.1536105799821306
1995-10-01	-1.0156602001487665
1995-11-01	-0.6548633259156567
1995-12-01	-0.8630407451238459
1996-01-01	-0.8438756613374295
