time	SASDI
2009-08-01	0.3759404
2009-09-01	0.34587115
2009-10-01	0.73968107
2009-11-01	0.59305376
2009-12-01	1.6799644
2010-01-01	1.4978112
2010-02-01	1.0963789
2010-03-01	1.2330356
2010-04-01	0.46385574
2010-05-01	0.27474278
2010-06-01	0.63076115
2010-07-01	0.48917246
2010-08-01	0.68974197
2010-09-01	0.3870502
2010-10-01	0.5012249
2010-11-01	-0.025133781
2010-12-01	-0.68050057
2011-01-01	-0.604327
2011-02-01	-0.501894
2011-03-01	0.233095
2011-04-01	-0.16940896
2011-05-01	-0.6070545
2011-06-01	-0.7063434
2011-07-01	-0.29237914
2011-08-01	0.18564281
2011-09-01	0.43756443
2011-10-01	0.69199395
2011-11-01	-0.0041867495
2011-12-01	-1.054736
2012-01-01	-1.0278916
2012-02-01	-1.2327042
2012-03-01	-0.74910283
2012-04-01	-0.9699882
2012-05-01	-0.69128263
2012-06-01	-1.1468189
2012-07-01	-1.21106
2012-08-01	-0.8740592
2012-09-01	-0.870829
2012-10-01	-1.2200842
2012-11-01	-0.85232216
2012-12-01	-0.47414383
2013-01-01	-0.13099737
2013-02-01	-0.3079691
2013-03-01	-0.17155364
2013-04-01	0.34614515
2013-05-01	0.50669664
2013-06-01	-0.18770939
2013-07-01	-0.1207574
2013-08-01	0.19303682
2013-09-01	-0.16016589
2013-10-01	-0.12959436
2013-11-01	-0.20789672
2013-12-01	-0.8240769
2014-01-01	-0.5353935
2014-02-01	0.14442903
2014-03-01	-0.4539774
2014-04-01	-0.50985944
2014-05-01	-0.20233311
2014-06-01	0.15261747
2014-07-01	-0.10115108
2014-08-01	-0.035121962
2014-09-01	0.16765563
2014-10-01	-0.2631302
2014-11-01	-0.5869852
2014-12-01	-0.89437383
2015-01-01	0.046359003
2015-02-01	0.4127924
2015-03-01	-0.016870402
2015-04-01	0.009296557
2015-05-01	-0.05169783
2015-06-01	-0.46640986
2015-07-01	-0.72644746
2015-08-01	-0.7372717
2015-09-01	-0.33815682
2015-10-01	0.32493207
2015-11-01	0.8785241
2015-12-01	1.2801039
2016-01-01	0.86964726
2016-02-01	1.3295152
2016-03-01	0.34635618
2016-04-01	-0.0749029
2016-05-01	-0.12647468
2016-06-01	0.15991625
2016-07-01	0.34011257
2016-08-01	0.40823087
2016-09-01	0.07607594
2016-10-01	0.22296217
2016-11-01	0.08311363
2016-12-01	1.0035392
2017-01-01	0.23153657
2017-02-01	-0.7956093
2017-03-01	-0.7728293
2017-04-01	-0.3042934
2017-05-01	0.19806221
2017-06-01	0.20697199
2017-07-01	0.01198671
2017-08-01	0.029569939
2017-09-01	-0.31902382
2017-10-01	-0.55184156
2017-11-01	-0.44975883
2017-12-01	-0.8140114
2018-01-01	-0.9953289
2018-02-01	-1.2279612
2018-03-01	-1.4518528
2018-04-01	-1.138619
2018-05-01	-0.77754164
2018-06-01	-0.060869366
2018-07-01	0.08345896
2018-08-01	-0.089973
2018-09-01	0.13544065
2018-10-01	0.29759458
2018-11-01	-0.18670365
2018-12-01	0.42800176
2019-01-01	0.14307636
2019-02-01	0.24166352
2019-03-01	0.9385499
2019-04-01	0.40239108
2019-05-01	0.80003935
2019-06-01	0.77098227
2019-07-01	0.15352497
2019-08-01	0.6437099
2019-09-01	-0.008008532
2019-10-01	-0.37546548
2019-11-01	0.9146765
2019-12-01	0.94682443
2020-01-01	0.872776
2020-02-01	0.53743964
2020-03-01	0.7530958
2020-04-01	0.7462776
2020-05-01	0.90938234
2020-06-01	0.6837594
2020-07-01	0.4914968
2020-08-01	0.041898727
2020-09-01	-0.27452835
2020-10-01	-0.05545149
2020-11-01	-0.2016796
2020-12-01	-1.1969621
2021-01-01	-1.568121
2021-02-01	-1.8481479
2021-03-01	-0.73857147
2021-04-01	0.20392194
2021-05-01	0.17828894
2021-06-01	0.22439441
2021-07-01	0.49242437
2021-08-01	0.2354757
2021-09-01	0.19563362
2021-10-01	-0.01784043
2021-11-01	-0.36915144
2021-12-01	-1.287097
2022-01-01	-0.24077311
2022-02-01	0.47569484
2022-03-01	-0.025848925
2022-04-01	0.13168262
2022-05-01	-0.4412199
2022-06-01	-0.3881201
2022-07-01	-0.35758477
2022-08-01	-0.13668354
2022-09-01	-0.0015036836
2022-10-01	0.1958469
2022-11-01	-0.07457557
2022-12-01	-0.34323716
2023-01-01	-0.17239302
2023-02-01	-0.5641284
2023-03-01	-0.6215489
2023-04-01	-0.17778331
2023-05-01	-0.2807843
2023-06-01	-0.20462361
2023-07-01	-0.2603678
2023-08-01	-0.16576368
2023-09-01	-0.45523778
2023-10-01	-0.34119534
2023-11-01	1.2105699
2023-12-01	1.6963983
2024-01-01	1.2946514
2024-02-01	1.325807
2024-03-01	1.7707373
2024-04-01	1.1462157
