time	SOI
2006-03-01	1.4462135
2006-04-01	1.3674885
2006-05-01	-0.68622166
2006-06-01	-0.3801267
2006-07-01	-1.0105861
2006-08-01	-1.1864092
2006-09-01	-0.5757163
2006-10-01	-1.3279041
2006-11-01	0.18156046
2006-12-01	-0.47472906
2007-01-01	-0.67437005
2007-02-01	-0.1274579
2007-03-01	0.07229017
2007-04-01	-0.06799826
2007-05-01	0.21260147
2007-06-01	0.8647453
2007-07-01	-0.5437051
2007-08-01	0.55616325
2007-09-01	0.057121843
2007-10-01	0.7915163
2007-11-01	0.73650235
2007-12-01	1.3614454
2008-01-01	1.4852521
2008-02-01	1.9469602
2008-03-01	1.2753122
2008-04-01	0.6997344
2008-05-01	-0.33712777
2008-06-01	1.1345195
2008-07-01	0.30847284
2008-08-01	1.2104872
2008-09-01	1.4589542
2008-10-01	1.5266298
2008-11-01	1.7998146
2008-12-01	1.1098372
2009-01-01	0.7263346
2009-02-01	1.3228258
2009-03-01	0.13855124
2009-04-01	0.99604416
2009-05-01	-0.042285323
2009-06-01	0.19170083
2009-07-01	0.19377366
2009-08-01	-0.031096494
2009-09-01	0.28889492
2009-10-01	-1.3777287
2009-11-01	-1.1285844
2009-12-01	-0.90076935
2010-01-01	-0.88607395
2010-02-01	-1.2867731
2010-03-01	-0.94492316
2010-04-01	1.2861176
2010-05-01	1.9063181
2010-06-01	0.6642321
2010-07-01	2.4534318
2010-08-01	2.2417328
2010-09-01	2.46
2010-10-01	1.8651365
2010-11-01	1.5985901
2010-12-01	2.34457
2011-01-01	1.7479764
2011-02-01	1.9369838
2011-03-01	2.1137035
2011-04-01	2.039718
2011-05-01	0.3020922
2011-06-01	0.5236581
2011-07-01	1.1582614
2011-08-01	0.40074137
2011-09-01	0.95215315
2011-10-01	1.080262
2011-11-01	1.2570553
2011-12-01	2.003056
2012-01-01	0.7672887
2012-02-01	0.16019027
2012-03-01	0.30860493
2012-04-01	-0.35141712
2012-05-01	-0.0064879297
2012-06-01	-0.8855503
2012-07-01	-0.19640832
2012-08-01	-0.41215116
2012-09-01	0.14847665
2012-10-01	0.35666555
2012-11-01	0.17275557
2012-12-01	-0.76440555
2013-01-01	-0.15369818
2013-02-01	-0.34797475
2013-03-01	1.0786755
2013-04-01	0.20239814
2013-05-01	1.5184
2013-06-01	1.7446711
2013-07-01	1.1317562
2013-08-01	0.16670464
2013-09-01	0.3651594
2013-10-01	-0.18423755
2013-11-01	0.7353092
2013-12-01	-0.13186015
2014-01-01	1.0901111
2014-02-01	-0.10689106
2014-03-01	-1.0526506
2014-04-01	0.8848054
2014-05-01	0.8856941
2014-06-01	0.041035794
2014-07-01	-0.58878785
2014-08-01	-1.0243157
2014-09-01	-0.7396548
2014-10-01	-0.6610066
2014-11-01	-1.1643844
2014-12-01	-0.6834254
2015-01-01	-0.78942937
2015-02-01	0.045820512
2015-03-01	-0.95326203
2015-04-01	-0.07036412
2015-05-01	-1.5388125
2015-06-01	-1.1005856
