time	PNA
1987-05-01	-0.17181388166558195
1987-06-01	-0.46562011291305594
1987-07-01	-0.7540792491573438
1987-08-01	-0.548896591129848
1987-09-01	0.37863021501239436
1987-10-01	0.5169170571305903
1987-11-01	1.1814059068264546
1987-12-01	0.44893114750326274
1988-01-01	-0.04707846976662385
1988-02-01	0.9658440307626164
1988-03-01	0.8196957780141287
1988-04-01	1.0601447546948426
1988-05-01	0.3897924432283524
1988-06-01	-0.9340234825056066
1988-07-01	0.07361080953867191
1988-08-01	-0.04895457602619245
1988-09-01	-0.1692710196355543
1988-10-01	0.8986619571844433
1988-11-01	-0.25182213967553985
1988-12-01	-0.141561638595247
1989-01-01	-2.8990487896556134
1989-02-01	-1.9296503300034153
1989-03-01	-1.1479128412318746
1989-04-01	0.009355147573746838
1989-05-01	-0.8683670086791686
1989-06-01	-0.16771243542894151
1989-07-01	0.04416525727152444
1989-08-01	-0.7111255244691311
1989-09-01	0.264552285074427
1989-10-01	-0.4713900050165523
1989-11-01	-0.5157737597541175
1989-12-01	1.7240241679702573
1990-01-01	-1.956588109957416
1990-02-01	-3.0513071612587432
1990-03-01	0.021721354201850077
1990-04-01	0.09406173364851923
1990-05-01	-0.045583564779520955
1990-06-01	0.5000907619457359
1990-07-01	-0.34390706314077524
1990-08-01	-0.24878990440662427
1990-09-01	0.3584368020574296
1990-10-01	-0.9573117027499451
1990-11-01	-1.7339023702151022
1990-12-01	-2.5710128943493236
1991-01-01	-1.2480319469758934
1991-02-01	1.5544314927463916
1991-03-01	-1.4302650605478722
1991-04-01	-0.1187159452755276
1991-05-01	-0.14351061793950903
1991-06-01	0.24792292915536882
1991-07-01	-0.1344010003705447
1991-08-01	0.04285173237536397
1991-09-01	0.6317450397877006
1991-10-01	-0.24415817544034427
1991-11-01	0.5364945975340759
1991-12-01	-0.293583785202599
1992-01-01	1.940202943744874
1992-02-01	1.130407121524804
1992-03-01	1.7910891678077963
1992-04-01	0.88455075507954
1992-05-01	0.017098839731387788
1992-06-01	-1.3052927627793938
1992-07-01	-0.36395184237968153
1992-08-01	-0.2050396387931191
1992-09-01	-0.721229881809068
1992-10-01	1.0321284847089263
1992-11-01	0.7119889966443741
1992-12-01	-2.011315992496829
1993-01-01	-1.3964524532715703
1993-02-01	1.6976289953629486
1993-03-01	1.5312052112440167
1993-04-01	1.99869934519655
1993-05-01	1.671147640102976
1993-06-01	-0.6768067129669313
1993-07-01	-0.23237308683285768
1993-08-01	-0.3181369412510028
1993-09-01	0.23987500225442787
1993-10-01	0.8706938671080701
1993-11-01	-0.9775279987071234
1993-12-01	0.41540595142630976
1994-01-01	-0.3510386630614386
1994-02-01	-1.5366848574477483
1994-03-01	-0.00011724485213460771
