time	NINO34
2014-10-01	0.43106577
2014-11-01	0.74246913
2014-12-01	0.7067261
2015-01-01	0.5136605
2015-02-01	0.4338917
2015-03-01	0.48000032
2015-04-01	0.69822997
2015-05-01	0.9188507
2015-06-01	1.1759348
2015-07-01	1.4516548
2015-08-01	1.9209404
2015-09-01	2.1975808
2015-10-01	2.355727
2015-11-01	2.711683
2015-12-01	2.655333
2016-01-01	2.5655267
2016-02-01	2.248488
2016-03-01	1.621658
2016-04-01	0.9075696
2016-05-01	0.31434608
2016-06-01	-0.016377918
2016-07-01	-0.4650038
2016-08-01	-0.5642025
2016-09-01	-0.560953
2016-10-01	-0.7286025
2016-11-01	-0.7484379
2016-12-01	-0.49897695
2017-01-01	-0.41733953
2017-02-01	-0.08153418
2017-03-01	0.032517683
2017-04-01	0.20607077
2017-05-01	0.3557847
2017-06-01	0.334505
2017-07-01	0.2587367
2017-08-01	-0.15107243
2017-09-01	-0.42696422
2017-10-01	-0.5624525
2017-11-01	-0.9572781
2017-12-01	-0.9914594
2018-01-01	-0.9856004
2018-02-01	-0.7894753
2018-03-01	-0.8066255
2018-04-01	-0.5141359
2018-05-01	-0.20420557
2018-06-01	0.04889406
2018-07-01	0.13136286
2018-08-01	0.10151904
2018-09-01	0.4763647
2018-10-01	0.9048576
2018-11-01	0.91082156
2018-12-01	0.8844466
2019-01-01	0.6481316
2019-02-01	0.71356845
2019-03-01	0.8047956
2019-04-01	0.6202918
2019-05-01	0.55286664
2019-06-01	0.4509447
2019-07-01	0.35082713
2019-08-01	0.04434361
2019-09-01	0.03585748
2019-10-01	0.48579693
2019-11-01	0.5247442
2019-12-01	0.51929903
2020-01-01	0.599435
2020-02-01	0.36315033
2020-03-01	0.47328928
2020-04-01	0.3578532
2020-05-01	-0.2778525
2020-06-01	-0.34190503
2020-07-01	-0.3039995
2020-08-01	-0.5931473
2020-09-01	-0.83420116
2020-10-01	-1.2584481
2020-11-01	-1.4231521
2020-12-01	-1.1576618
2021-01-01	-1.0060272
2021-02-01	-1.0108484
2021-03-01	-0.80773264
2021-04-01	-0.7272407
2021-05-01	-0.46898076
2021-06-01	-0.29098138
2021-07-01	-0.40053132
2021-08-01	-0.543206
2021-09-01	-0.56361943
2021-10-01	-0.9288046
2021-11-01	-0.954951
2021-12-01	-1.0814656
2022-01-01	-0.93744516
2022-02-01	-0.8890538
2022-03-01	-0.9720339
2022-04-01	-1.1113228
2022-05-01	-1.1106033
2022-06-01	-0.7540527
2022-07-01	-0.7013074
2022-08-01	-0.97628725
2022-09-01	-1.0734589
2022-10-01	-0.99408513
2022-11-01	-0.90559006
2022-12-01	-0.84685594
2023-01-01	-0.7353275
2023-02-01	-0.47049996
2023-03-01	-0.11428384
2023-04-01	0.12590687
2023-05-01	0.45139253
2023-06-01	0.825962
2023-07-01	1.0115098
2023-08-01	1.3391949
2023-09-01	1.5889723
2023-10-01	1.7093198
2023-11-01	2.0125153
2023-12-01	2.0219593
2024-01-01	1.8066388
2024-02-01	1.5143774
2024-03-01	1.1209933
2024-04-01	0.7741988
2024-05-01	0.23173414
2024-06-01	0.17452568
2024-07-01	0.046933863
2024-08-01	-0.1174162
2024-09-01	-0.25776935
2024-10-01	-0.26849905
2024-11-01	-0.24607535
2024-12-01	-0.597362
2025-01-01	-0.73121613
2025-02-01	-0.5025282
2025-03-01	-0.0073064365
2025-04-01	-0.16308999
2025-05-01	-0.15708348
2025-06-01	-0.056674693
