time	SASAI
2011-09-01	0.02507248
2011-10-01	0.325507
2011-11-01	0.100546114
2011-12-01	-1.1641871
2012-01-01	-0.0034831238
2012-02-01	2.376348
2012-03-01	0.65490854
2012-04-01	-0.67451155
2012-05-01	0.5991539
2012-06-01	-0.055596467
2012-07-01	-1.1569946
2012-08-01	1.88412
2012-09-01	0.96503615
2012-10-01	1.9741596
2012-11-01	-0.8185631
2012-12-01	2.1678703
2013-01-01	-1.2778444
2013-02-01	0.37021768
2013-03-01	-0.8402938
2013-04-01	0.45869786
2013-05-01	1.3639815
2013-06-01	-0.6078675
2013-07-01	-0.48532668
2013-08-01	-1.6947467
2013-09-01	0.52461755
2013-10-01	-0.19777237
2013-11-01	0.8316132
2013-12-01	-0.15889718
2014-01-01	2.0962944
2014-02-01	0.014415321
2014-03-01	0.975783
2014-04-01	-1.246027
2014-05-01	-0.046297453
2014-06-01	-0.8987345
2014-07-01	0.46972543
2014-08-01	1.2081846
2014-09-01	1.831472
2014-10-01	1.1495767
2014-11-01	0.19138406
2014-12-01	0.7595108
2015-01-01	0.17977898
2015-02-01	-0.4706063
2015-03-01	-0.5985537
2015-04-01	-1.3935463
2015-05-01	-0.04928894
2015-06-01	0.6830323
2015-07-01	0.0053544617
2015-08-01	3.046014
2015-09-01	0.030102996
2015-10-01	-1.1924541
2015-11-01	-1.0460699
2015-12-01	1.386818
2016-01-01	-0.99868095
2016-02-01	1.2445462
2016-03-01	-1.2901273
2016-04-01	0.7511755
2016-05-01	-2.4650497
2016-06-01	-3.2871902
2016-07-01	0.053051528
2016-08-01	-0.23309883
2016-09-01	-1.6894047
2016-10-01	-0.53963506
2016-11-01	-0.3637416
2016-12-01	1.0698833
2017-01-01	0.26064536
2017-02-01	1.8024031
2017-03-01	-0.88659877
2017-04-01	-0.075895384
2017-05-01	0.6126853
2017-06-01	1.0322359
2017-07-01	1.4991577
2017-08-01	0.9891052
2017-09-01	1.8236002
2017-10-01	1.5233922
2017-11-01	0.37739316
2017-12-01	-0.52961767
2018-01-01	0.2525029
2018-02-01	-1.5868994
2018-03-01	0.55582696
2018-04-01	0.48252448
2018-05-01	0.9446953
2018-06-01	-0.9229805
2018-07-01	-1.4126109
2018-08-01	-1.5606805
2018-09-01	-0.3029503
2018-10-01	-1.5076867
2018-11-01	0.94257236
2018-12-01	-0.01412323
2019-01-01	1.3670224
